kept: 228916, deleted: 946737 946696 
kept: 10925609, deleted: 11105641 
kept: 8813664, deleted: 9588992 
kept: 10130528, deleted: 10264684 10353193 10418263 10601797 10822386 10843165 11153025 
kept: 10451749, deleted: 10978304 
kept: 6227934, deleted: 9110596 
kept: 6606167, deleted: 9150037 
kept: 8504674, deleted: 9043542 9820803 
kept: 575170, deleted: 8497020 
kept: 9117683, deleted: 10031128 
kept: 1342875, deleted: 1343914 
kept: 7155152, deleted: 7660742 7156514 7617951 
kept: 7659028, deleted: 7673826 
kept: 10370445, deleted: 10418586 11154074 
kept: 9896441, deleted: 10381331 10179589 
kept: 6685289, deleted: 8374418 6891182 
kept: 7828013, deleted: 7828155 
kept: 9123639, deleted: 9797779 10936289 
kept: 8292845, deleted: 8378023 
kept: 5073628, deleted: 5301021 
kept: 10420062, deleted: 11200022 
kept: 932305, deleted: 991226 
kept: 5660104, deleted: 9131183 
kept: 4937512, deleted: 5894941 
kept: 1440741, deleted: 1978443 
kept: 279369, deleted: 280081 746506 
kept: 1003191, deleted: 1281294 
kept: 1003201, deleted: 5056421 
kept: 11198956, deleted: 11310661 11294669 
kept: 10557631, deleted: 10605355 
kept: 10288227, deleted: 10376583 
kept: 8501243, deleted: 9147029 
kept: 8817328, deleted: 9763457 
kept: 5589034, deleted: 5896664 
kept: 5165066, deleted: 5690706 
kept: 10333795, deleted: 10414786 
kept: 6658799, deleted: 7614000 7671023 
kept: 10558079, deleted: 11322757 
kept: 10402984, deleted: 11313656 
kept: 7629972, deleted: 7649862 
kept: 10333586, deleted: 10822930 
kept: 8858686, deleted: 10302133 
kept: 8727896, deleted: 9076474 
kept: 8855100, deleted: 9662339 
kept: 9982694, deleted: 9987395 
kept: 2703637, deleted: 4936396 
kept: 10372552, deleted: 10727488 10767895 
kept: 11180204, deleted: 11191027 
kept: 8752326, deleted: 8979239 
kept: 5108262, deleted: 7612584 
kept: 10212966, deleted: 10232048 10243055 10918704 11259370 
kept: 6534464, deleted: 10420740 10812477 
kept: 5214070, deleted: 5739592 
kept: 10256808, deleted: 10372843 10371031 
kept: 10492548, deleted: 11312832 
kept: 866756, deleted: 4471793 
kept: 108543, deleted: 575907 
kept: 991364, deleted: 991365 
kept: 10237624, deleted: 10877860 
kept: 10192014, deleted: 10756305 
kept: 8852260, deleted: 10303007 
kept: 10376670, deleted: 10418673 
kept: 991383, deleted: 991384 
kept: 10231032, deleted: 10231828 
kept: 10192032, deleted: 10892287 10904353 
kept: 6388642, deleted: 10226270 
kept: 1009245, deleted: 1438165 2828168 
kept: 1009239, deleted: 1009240 
kept: 2606976, deleted: 3021006 
kept: 8907406, deleted: 9197963 
kept: 10231636, deleted: 10419129 
kept: 8375198, deleted: 8375690 
kept: 8960952, deleted: 9480148 
kept: 9586434, deleted: 9586599 
kept: 603426, deleted: 603738 
kept: 116160, deleted: 866884 
kept: 101851, deleted: 1758499 
kept: 359610, deleted: 996988 
kept: 2477699, deleted: 2623657 
kept: 889825, deleted: 890114 
kept: 7869407, deleted: 9796443 
kept: 8507804, deleted: 9054982 
kept: 9055130, deleted: 9832657 
kept: 5258503, deleted: 5652986 
kept: 5918058, deleted: 5939356 
kept: 5917112, deleted: 5933179 
kept: 10403602, deleted: 10602256 
kept: 7467780, deleted: 7927926 
kept: 992233, deleted: 1978647 4792426 4865539 5245765 
kept: 286313, deleted: 658000 
kept: 5302291, deleted: 7343975 
kept: 3877800, deleted: 5916947 
kept: 3914310, deleted: 5934156 
kept: 2606985, deleted: 2607093 3875125 
kept: 10340014, deleted: 10600792 10602591 
kept: 860756, deleted: 879244 
kept: 7864960, deleted: 9799706 
kept: 10372030, deleted: 10985089 11059315 
kept: 6739083, deleted: 8133459 
kept: 1009249, deleted: 1009250 
kept: 8834448, deleted: 8836528 
kept: 10788539, deleted: 10854500 
kept: 991684, deleted: 10226774 
kept: 151593, deleted: 226204 
kept: 2673603, deleted: 3709553 
kept: 7503806, deleted: 9920205 
kept: 7624475, deleted: 7777959 9055066 
kept: 10701120, deleted: 10882476 
kept: 9230789, deleted: 10590106 
kept: 9331283, deleted: 9331298 
kept: 8371337, deleted: 9919723 
kept: 219119, deleted: 285114 
kept: 9123701, deleted: 9149315 
kept: 10049853, deleted: 10229724 10291379 
kept: 10568054, deleted: 11137782 
kept: 199271, deleted: 891881 
kept: 108165, deleted: 991583 
kept: 8941621, deleted: 9896768 
kept: 10456726, deleted: 10951655 
kept: 8883060, deleted: 8919666 9401649 
kept: 1454462, deleted: 1867340 
kept: 991757, deleted: 2603066 
kept: 991755, deleted: 2603273 
kept: 10465871, deleted: 10904350 
kept: 10631172, deleted: 10720711 
kept: 10228893, deleted: 10346141 
kept: 10346138, deleted: 10371856 10404109 
kept: 3846936, deleted: 9128095 
kept: 10199724, deleted: 10758982 
kept: 10061835, deleted: 10146306 
kept: 7651227, deleted: 7673871 
kept: 10903322, deleted: 10965824 
kept: 7962231, deleted: 10048446 
kept: 10081474, deleted: 10232334 
kept: 10326128, deleted: 10373339 
kept: 8940436, deleted: 10590094 
kept: 10079615, deleted: 10125166 
kept: 9209929, deleted: 10307020 10228706 
kept: 8204894, deleted: 9118791 
kept: 9567450, deleted: 9723147 
kept: 8772966, deleted: 8849451 
kept: 4599338, deleted: 6051693 
